record_id,plant_id,part_number,part_name,quantity,unit,weight_kg,production_date,ship_date,customer_id,status,last_modified
R-00001,C,BOLT_119,Bolt Assembly 119,437,mm,24.21,2026-02-09,2026-02-14,CU-0065,pending,2026-02-15
R-00002,A,SHFT-148,Shft Assembly 148,592,mm,4.19,2024-11-26,2025-01-01,CX-A228,in_qa,2025-01-02
R-00003,A,PLTE-106,Plte Assembly 106,826,mm,8.11,2025-08-13,2025-08-31,CU-0210,completed,2025-09-01
R-00004,C,BOLT_142,Bolt Assembly 142,146,mm,67.43,2024-07-15,2024-08-25,CU-0107,shipped,2024-08-26
R-00005,B,BRKT-140,Brkt Assembly 140,4314,mm,9.91,2024-10-22,2024-11-11,CU-0102,in_qa,2024-11-12
R-00006,A,VALV-144,Valv Assembly 144,4137,mm,27.77,2024-05-17,2024-06-25,CU-0084,shipped,2024-06-26
R-00007,A,CASE-143,Case Assembly 143,4455,mm,63.31,2025-11-05,2025-11-06,CU-0142,pending,2025-11-07
R-00008,C,BRKT_127,Brkt Assembly 127,2952,mm,40.07,2026-04-24,2026-05-16,CU-0222,completed,2026-05-17
R-00009,B,RING-146,Ring Assembly 146,112,mm,50.83,2025-08-13,2025-08-25,CU-0134,shipped,2025-08-26
R-00010,B,SHFT-128,Shft Assembly 128,411,mm,0.62,2024-01-18,2024-01-29,CU-0064,in_qa,2024-01-30
R-00011,C,VALV_119,Valv Assembly 119,4259,mm,47.58,2025-07-19,2025-07-23,CU-0096,shipped,2025-07-24
R-00012,B,SHFT-145,Shft Assembly 145,158,mm,2.93,2025-09-20,2025-11-03,CU-0121,shipped,2025-11-04
R-00013,B,BRKT-122,Brkt Assembly 122,2302,mm,24.08,2025-11-26,2026-01-01,CU-0203,completed,2026-01-02
R-00014,A,VALV-135,Valv Assembly 135,528,mm,54.35,2025-02-02,2025-03-06,CU-0005,completed,2025-03-07
R-00015,B,VALV-126,Valv Assembly 126,1712,mm,54.1,2024-08-01,2024-08-24,CU-0125,shipped,2024-08-25
R-00016,C,BRKT_116,Brkt Assembly 116,4982,mm,24.16,2024-06-06,2024-06-07,CU-0052,pending,2024-06-08
R-00017,A,VALV-126,Valv Assembly 126,4770,mm,55.39,2025-08-30,2025-10-12,CU-0103,completed,2025-10-13
R-00018,C,BRKT_148,Brkt Assembly 148,4085,mm,44.94,2026-03-16,2026-04-27,CU-0017,completed,2026-04-28
R-00019,A,PLTE-130,Plte Assembly 130,4356,mm,61.84,2024-09-16,2024-09-26,CU-0159,completed,2024-09-27
R-00020,C,SHFT_127,Shft Assembly 127,1948,mm,66.97,2025-06-06,2025-06-28,CU-0222,shipped,2025-06-29
R-00021,A,RING-135,Ring Assembly 135,2264,mm,3.32,2024-10-06,2024-10-30,CU-0085,pending,2024-10-31
R-00022,A,SHFT-132,Shft Assembly 132,1159,mm,9.49,2025-03-01,2025-03-05,CU-0237,shipped,2025-03-06
R-00023,C,RING_112,Ring Assembly 112,4303,mm,2.13,2024-04-23,2024-05-07,CU-0031,shipped,2024-05-08
R-00024,B,RING-136,Ring Assembly 136,1944,mm,68.49,2024-02-14,2024-03-03,CU-0103,in_qa,2024-03-04
R-00025,C,PLTE_143,Plte Assembly 143,1407,mm,29.44,2024-07-21,2024-09-01,CU-0223,shipped,2024-09-02
R-00026,B,RING-125,Ring Assembly 125,56,mm,60.7,2026-04-21,2026-05-25,CU-0211,completed,2026-05-26
R-00027,B,RING-143,Ring Assembly 143,4922,mm,35.24,2025-06-18,2025-07-27,CU-0031,shipped,2025-07-28
R-00028,A,RING-122,Ring Assembly 122,1532,mm,53.44,2025-08-17,2025-09-18,CU-0156,shipped,2025-09-19
R-00029,B,SHFT-133,Shft Assembly 133,177,mm,27.26,2025-11-24,2025-11-29,CU-0059,shipped,2025-11-30
